editor,action,Line Of Business  Component,Channel Component,Product Component,L0 Component,domain_sequence Qualifier,L1 Component,sub_domain_sequence Qualifier,Business Flow Component,business_flow_sequence Qualifier,sequence_uml Qualifier,Task Component,Task_sequence Qualifier,Application Component,correlation_id Qualifier,FK_Data[Application].CORRELATION_ID
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Buy,2,Contract Management,2,Contract Complete,2,ASOC ->> ROME: Connect to Opportunity ,Connect to Opportunity,1,ASOC,13540,13540
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Buy,2,Contract Management,2,Contract Complete,2,OVALS GIS ->> ROME: Connect to Opportunity ,Connect to Opportunity,1,OVALS GIS,19375,19375
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Buy,2,Contract Management,2,Contract Complete,2,"CPC ->> Sales Express: Connect for Standard Pricing
CPC ->> ASAP: Solution Creation & Qualification 
CPC ->> Salesforce: Solution Creation & Qualification ",Pricing and Create Solution,2,CPC,17765,17765
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Buy,2,Contract Management,2,Contract Complete,2,"IGLOO ->> Sales Express: Connect for Standard Access Pricing 
IGLOO ->> ASAP: Solution Creation & Qualification 
IGLOO ->> Salesforce: Solution Creation & Qualification",Pricing and Create Solution,2,(FED) - IGLOO,27567,27567
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Buy,2,Contract Management,2,Contract Complete,2,"UB - >>  CPC: Solution Creaton & Qualification
UB ->> IGLOO: Solution Creaton & Qualification",Pricing and Create Solution,2,UB,13792,13792
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Buy,2,Contract Management,2,Contract Complete,2,"ASF ->> BGW: Biller Setup for Contract
ASF ->> OVALS: Solution Creaton & Qualification
ASF ->> APS: Signature & Countersignature
ASF ->> APS: Generate Contract",Pricing and Create Solution,2,ASF,29572,29572
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Buy,2,Contract Management,2,Contract Complete,2,"MYPRICE ->>  CPC: Custom Pricer Engagement
MYPRICE ->> IGLOO: Custom Pricer Engagement
MYPRICE ->> ASAP_ADOPT: Custom Pricing",Create Custom Pricing,3,MyPrice,27226,27226
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Buy,2,Contract Management,2,Contract Complete,2,NEXXUS ->> ASAP_ADOPT: Custom Pricing,Create Custom Pricing,3,NEXXUS,30359,30359
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Buy,2,Contract Management,2,Contract Complete,2,"ROME ->> BGW/UB: Biller Setup for Contract
ROME ->> Sales Express : Link to Opportunity/Solution
ROME ->> ASAP_ADOPT:Link to Opportunity/Solution
ROME ->> ASF: Link to Opportunity/Solution
ROME ->> SSDF: signature & Countersignature
ROME ->> CPC: Custom Pricing
ROME ->> IGLOO: Custom Pricing",Setup Billing,4,ROME,14269,14269
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Buy,2,Contract Management,2,Contract Complete,2,"BGW ->> CADM: Biller Setup for Contract
BGW - >>  CPC: Solution Creaton & Qualification
BGW ->> IGLOO: Solution Creaton & Qualification",Setup Billing,4,BGW,14106,14106
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Buy,2,Contract Management,2,Contract Complete,2,CADM ->> UB: Biller Setup for Contract,Setup Billing,4,CADM,12997,12997
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Buy,2,Contract Management,2,Contract Complete,2,"ADOPT ->> BGW: Biller Setup for Contract
ADOPT ->> ROME: Signature & Countersignature
ADOPT ->> SSDF: Generate Contract",Generate Contract,5,ADOPT,14377,14377
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Buy,2,Contract Management,2,Contract Complete,2,"SSDF ->> ESIGN: Signature & Countersignature 
SSDF ->> CPC: Generate Contract
SSDF ->> IGLOO: Generate Contract",Generate Contract,5,SSDF,23007,23007
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Buy,2,Contract Management,2,Contract Complete,2,"APS ->> ESIGN: Signature & Countersignature
APS ->>  CPC: Generate Contract 
APS ->> IGLOO: Generate Contract",Generate Contract,5,APS,31170,31170
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Buy,2,Contract Management,2,Contract Complete,2,"Sales Express ->> BGW: Biller Setup for Contract
Sales Express ->> CSI-Qual: Solution Creation & Qualification
Sales Express ->>ASOC: Solution Creation & Qualification
Sales Express ->> ROME: Signature & Countersignature
Sales Express ->> SSDF: Generate Contract",Finalize Solution & Contract ,6,Sales Express,22787,22787
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Buy,2,Contract Management,2,Contract Complete,2,,Finalize Solution & Contract ,6,DATARTR,22597,22597
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Buy,2,Contract Management,2,Contract Complete,2,,Finalize Solution & Contract ,6,C-BUS,12654,12654
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Buy,2,Contract Management,2,Contract Complete,2,,Finalize Solution & Contract ,6,AT&T-Power BI,28605,28605
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Buy,2,Contract Management,2,Contract Complete,2,,Finalize Solution & Contract ,6,EIS,26683,26683
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Buy,2,Contract Management,2,Contract Complete,2,"ASAP ->> CSI-Qual: Solution Creation & Qualification
ASAP ->> ASOC: Solution Creation & Qualification
ASAP ->> EDF: Write Solution to EDF
ASAP ->> ROME: Engage Custom Group",Qualify & Record Solution,6,ASAP,12987,12987
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Buy,2,Contract Management,2,Contract Complete,2,"DOCVIEWER ->> Sales Express: Load Signed Contract to Repository
DOCVIEWER ->> ADOPT: Load Signed Contract to Repository",Save Contract,7,DOCVIEWER,13662,13662
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Buy,2,Contract Management,2,Contract Complete,2,"ESIGN ->> CPC: Link to Solution
ESIGN ->> IGLOO: Link to Solution ",Link to Solution,8,ESIGN,14038,14038
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Buy,2,Contract Management,2,Contract Complete,2,"EDF ->> CPC: Custom Pricing
EDF ->> IGLOO: Custom Pricing
EDF ->> Sales Express: Generate Contract
EDF ->> ADOPT: Generate Contract
EDF ->> ASF: Generate Contract",Create Custom Pricing,3,EDF,23718,23718
em114j,Add,AT&T Business,Global Enterprise Sales,OAH,Buy,2,Contract Management,2,Contract Complete,1,,Generate contract PDF,1,ASF,29572,29572
em114j,Add,AT&T Business,Global Enterprise Sales,OAH,Buy,2,Contract Management,2,Contract Complete,1,,Navigate to contract page,2,ASF,29572,29572
em114j,Add,AT&T Business,Global Enterprise Sales,ABF,Buy,2,Contract Management,2,Contract Complete,2,,Generate Contract & Signature,1,ASF,29572,29572
em114j,Add,AT&T Business,Global Enterprise Sales,ABF,Buy,2,Contract Management,2,Contract Complete,2,,Order Sales request,2,ASF,29572,29572
em114j,Add,AT&T Business,Global Enterprise Sales,ABF,Buy,2,Contract Management,2,Contract Complete,2,,Capture Customer initiated Order,3,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Global Enterprise Sales,ABF,Buy,2,Contract Management,2,Contract Complete,2,,Create E-Sales Order,4,ASF,29572,29572
em114j,Add,AT&T Business,Global Enterprise Sales,ABF,Buy,2,Contract Management,2,Contract Complete,2,,Submit E-Sales Order,5,ASF,29572,29572
em114j,Add,AT&T Business,Global Enterprise Sales,ABF,Buy,2,Contract Management,2,Contract Complete,2,,Manage DD & Order Details,6,ASF,29572,29572
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,,Access Order,1,ACMS - SPECIALS,12672,12672
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,"ACMS ->> PED 
ACMS ->> TIRKS
ACMS ->> EXACT
ACMS ->> TSNOW",Access Order,1,ACMS,25938,25938
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,,Access Order,1,BPP-ADT/ATW,13346,13346
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,,Access Order,1,BPP - FACILITY,13003,13003
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,,Access Order,1,CANOPI,16994,16994
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,,Access Order,1,DCS,13804,13804
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,EFMS ->> ACMS: Access Order,Access Order,1,EFMS,13537,13537
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,,Access Order,1,EXMGR,9325,9325
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,,Access Order,1,MARS,351,351
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,,Access Order,1,MDLRS,12765,12765
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,,Access Order,1,NISE-CORE,12653,12653
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,,Access Order,1,NISE-WFM,19835,19835
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,,Access Order,1,OCS-SS,13758,13758
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,,Access Order,1,OMX,22011,22011
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,,Access Order,1,(FED) - OMX,24233,24233
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,,Access Order,1,PED,21386,21386
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,,Access Order,1,POCITS,13811,13811
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,SOTS ->> ACMS: Access Order,Access Order,1,SOTS,13853,13853
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,,Access Order,1,TIRKS,595,595
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,OCX ->> ACMS: Access Order,Access Order,1,OCX,23326,23326
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,,Access Order,1,AERO,21607,21607
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,,Access Order,1,EDF,23718,23718
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,"USRP ->> SOTS: Workflow Mgmt
USRP ->> OCX: Workflow Mgmt
USRP ->> EFMS: Workflow Mgmt",Manage Workflow,2,USRP,13703,13703
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,,Manage Workflow,2,R3:LAPS,26121,26121
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,,Manage Workflow,2,CS WFBPM,22097,22097
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,,Manage Workflow,2,GRETA,2027,2027
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,,Manage Workflow,2,ICORE,18276,18276
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,,Manage Workflow,2,NC3,13200,13200
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,,Manage Workflow,2,UTMS,27213,27213
em114j,Add,AT&T Business,Service Delivery,ABF,Get,3,Order Management ,1,Design Complete,6,,Design,21,AERO,21607,21607
em114j,Add,AT&T Business,Service Delivery,ASE,Get,3,Provisioning Management ,2,Design Complete,5,,Validate Service Availabilit,1,CANOPI,16994,16994
em114j,Add,AT&T Business,Service Delivery,ASE,Get,3,Provisioning Management ,2,Design Complete,5,,Return Avaliability Validation Results,2,CANOPI,16994,16994
em114j,Add,AT&T Business,Service Delivery,ASE,Get,3,Provisioning Management ,2,Design Complete,5,,Create Order,3,CANOPI,16994,16994
em114j,Add,AT&T Business,Service Delivery,ASE,Get,3,Provisioning Management ,2,Design Complete,5,,Route Design Fallouts for Remediation,4,CANOPI,16994,16994
em114j,Add,AT&T Business,Service Delivery,ASE,Get,3,Provisioning Management ,2,Design Complete,5,,Route Order Fallouts for Remediation,5,AERO,21607,21607
em114j,Add,AT&T Business,Service Delivery,ASE,Get,3,Provisioning Management ,2,Design Complete,5,,Return Remediated Fallout Results,6,CANOPI,16994,16994
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,,Order Dispatch,1,EDF,23718,23718
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,,Order Dispatch,1,AERO,21607,21607
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,,Order Dispatch,1,EXMGR,9325,9325
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,,Order Dispatch,1,EDGE,19062,19062
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,,Order Dispatch,1,EFMS,13537,13537
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,,Order Dispatch,1,GRID-AC,22510,22510
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,,Order Dispatch,1,INSTAR,13672,13672
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,,Order Dispatch,1,OCX,23326,23326
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,,Order Dispatch,1,(FED) - OCX,24336,24336
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,,Order Dispatch,1,(FED) - OMX,24233,24233
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,,Order Dispatch,1,USRP,13703,13703
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,,Order Dispatch,1,R3:SG,22448,22448
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,,Order Dispatch,1,ACMS,25938,25938
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,,Order Dispatch,1,SOTS,13853,13853
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,Dispatch Task Handler,Handle Dispatch Tasks,2,FORCE-DCOE,19705,19705
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,Dispatch Task Handler,Handle Dispatch Tasks,2,GRETA,2027,2027
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,Dispatch Task Handler,Handle Dispatch Tasks,2,WFA/C,641,641
em114j,Add,AT&T Business,Service Delivery,ABF,Get,3,Provisioning Management ,2,Dispatch,8,,Initiate Dispatch Request from Service Delivery Provisioning,1,TIRKS,595,595
em114j,Add,AT&T Business,Service Delivery,ABF,Get,3,Provisioning Management ,2,Dispatch,8,,Route Dispatch Request for Workforce Handling,2,TIRKS,595,595
em114j,Add,AT&T Business,Service Delivery,ABF,Get,3,Provisioning Management ,2,Dispatch,8,,Dispatch Work Order to Field Systems,3,TIRKS,595,595
em114j,Add,AT&T Business,Service Delivery,ABF,Get,3,Provisioning Management ,2,Dispatch,8,,Provide Network & Service Context for Dispatch Execution,4,TIRKS,595,595
em114j,Add,AT&T Business,Service Delivery,ABF,Get,3,Provisioning Management ,2,Dispatch,8,,Reference Network Inventory for Dispatch Alignment,5,TIRKS,595,595
em114j,Add,AT&T Business,Service Delivery,ABF,Get,3,Provisioning Management ,2,Dispatch,8,,Trigger Provisioning Fallout Handling if Dispatch Fails,6,WFA/C,641,641
em114j,Add,AT&T Business,Service Delivery,ABF,Get,3,Provisioning Management ,2,Dispatch,8,,Escalate provisioning fallout ,7,WFA/C,641,641
em114j,Add,AT&T Business,Service Delivery,ABF,Get,3,Provisioning Management ,2,Dispatch,8,,Handle fallout through guided process flows ,8,WFA/C,641,641
em114j,Add,AT&T Business,Service Delivery,ABF,Get,3,Provisioning Management ,2,Dispatch,8,,Log fallout resolution activity ,9,WFA/C,641,641
em114j,Add,AT&T Business,Service Delivery,ABF,Get,3,Provisioning Management ,2,Dispatch,8,,Close fallout actions and exceptions ,10,WFA/C,641,641
em114j,Add,AT&T Business,Service Delivery,ASE,Get,3,Order Management ,1,Manage Service Order,4,,Initiate Service Order Creation,1,ROME,14269,14269
em114j,Add,AT&T Business,Service Delivery,ASE,Get,3,Order Management ,1,Manage Service Order,4,,Issue Service Order,2,ARIS/EXACT,224,224
em114j,Add,AT&T Business,Service Delivery,ASE,Get,3,Order Management ,1,Manage Service Order,4,,Create ASR/PSR,3,ARIS/EXACT,224,224
em114j,Add,AT&T Business,Service Delivery,ASE,Get,3,Order Management ,1,Manage Service Order,4,,Generate Service Order Record (SOR),4,ARIS/EXACT,224,224
em114j,Add,AT&T Business,Service Delivery,ASE,Get,3,Order Management ,1,Manage Service Order,4,,Submit Service Order to TIRKS,5,CANOPI,16994,16994
em114j,Add,AT&T Business,Service Delivery,ASE,Get,3,Order Management ,1,Manage Service Order,4,,Submit Service Order to WFA,6,CANOPI,16994,16994
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Browse ATTCOM,1,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Sign in,2,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Sign up,3,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Verify Business Info,4,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Check Service Availability,5,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Select Fiber Speed,6,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Select Add-Ons,7,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Explore Pricing,8,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,"Review, Share and Save Cart Selections",9,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Initiate Credit Check,10,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Credit and Bill Preferences,11,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Create Passcode,12,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Review Order,13,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Accept Terms,14,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Receive Confirmation,15,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Setup payment and communication preferences,16,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,View monthly bill,17,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Update Payment method,18,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Schedule Install,19,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Provide Installation Contact,20,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Confirm Install,21,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Complete appointment checklist,22,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,myATT Registration,23,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Answer site readiness questions,24,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Learn,1,Sales Opportunity Management,7,Opportunity Create,1,,Initiate Opportunity,1,ROME,14269,14269
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Learn,1,Sales Opportunity Management,7,Opportunity Create,1,Sales Express ->> ROME: Integrated DPPCO,Initiate Opportunity,1,Sales Express,22787,22787
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Learn,1,Sales Opportunity Management,7,Opportunity Create,1,"CPC ->> Presales_SFDC
CPC ->> SalesExpress
CPC ->> ASF_Salesforce",Initiate Opportunity,1,CPC,17765,17765
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Learn,1,Sales Opportunity Management,7,Opportunity Create,1,ASF - >> ROME: Integrated DPPCO,Intake and Opportunity Validation,2,ASF,29572,29572
